Timestamp,Voltage,Current,Power,Energy,Frequency,Power Factor,Threshold,Alarm Status
2025-06-17 15:32:18.918709,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:19.985508,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:21.056358,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:22.124379,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:23.191552,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:24.257932,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:25.324887,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:26.395690,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:27.463490,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:28.530722,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:29.597306,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:30.664135,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:31.735084,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:32.802984,115.7,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:33.869724,115.7,0.0,0.0,2,59.9,0.0,50000,0
2025-06-17 15:32:34.936545,115.7,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:36.003324,115.7,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:37.074432,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:38.142338,115.8,0.0,0.0,2,59.9,0.0,50000,0
2025-06-17 15:32:39.209085,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:40.275907,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:41.342910,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:42.413794,115.7,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:43.481699,115.8,0.0,0.0,2,59.9,0.0,50000,0
2025-06-17 15:32:44.548450,115.7,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:45.615304,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:46.682261,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:47.753153,115.8,0.0,0.0,2,60.0,0.0,50000,0
2025-06-17 15:32:48.820630,115.7,0.0,0.0,2,60.0,0.0,50000,0
