Weight,Offset,Ratio
54.7,-612818,0.001215825739053123
54.7,-612328,0.0012172326316257957
2322.66,-612372,0.008355072411634783
264.2,-612747,0.0012171974052779006
264.2,-613328,0.0012158026736614435
264.2,-613534,0.0012168778470197546
264.2,-613551,0.0012161664518504879
